Kontynent;Pañstwo;Miejsce;Moc [MWe];Grupa reaktorów;Typ;Model;Przeznaczenie;Data uruchomienia;Data wy³¹czenia;Data planowanego uruchomienia;Data planowanego wy³¹czenia;Uwagi,"
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Braidwood-1;1270;Lekkowodny;PWR;WH 4LP (DRYAMB);Energetyczny;29.lip.88;;;2046;","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Braidwood-2;1230;Lekkowodny;PWR;WH 4LP (DRYAMB);Energetyczny;17.paŸ.88;;;2047;","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Browns Ferry-1;1155;Lekkowodny;BWR;BWR-4 (Mark 1);Energetyczny;20.gru.73;;;20.gru.33;","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Browns Ferry-2;1155;Lekkowodny;BWR;BWR-4 (Mark 1);Energetyczny;02.sie.74;;;28.cze.34;","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Browns Ferry-3;1155;Lekkowodny;BWR;BWR-4 (Mark 1);Energetyczny;18.sie.76;;;02.lip.36;","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Brunswick-1;990;Lekkowodny;BWR;BWR-4 (Mark 1);Energetyczny;18.mar.77;;;;","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Brunswick-2;960;Lekkowodny;BWR;BWR-4 (Mark 1);Energetyczny;03.lis.75;;;;","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Byron-1;1242;Lekkowodny;PWR;WH 4-loop (DRYAMB);Energetyczny;16.wrz.85;;;31.paŸ.44;","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Byron-2;1210;Lekkowodny;PWR;WH 4-loop (DRYAMB);Energetyczny;02.sie.87;;;06.lis.46;","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Callaway;1275;Lekkowodny;PWR;WH 4-loop (DRYAMB);Energetyczny;19.gru.84;;;;","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Calvert Cliffs-1;918;Lekkowodny;PWR;CE 2-loop (DRYAMB);Energetyczny;08.maj.75;;;;","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Calvert Cliffs-2;911;Lekkowodny;PWR;CE 2-loop (DRYAMB);Energetyczny;01.kwi.77;;;;","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Catawba-1;1188;Lekkowodny;PWR;WH 4-loop (ICECND);Energetyczny;29.cze.85;;;;","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Catawba-2;1188;Lekkowodny;PWR;WH 4-loop (ICECND);Energetyczny;19.sie.86;;;;","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Clinton;1098;Lekkowodny;BWR;BWR-6 (Mark 3);Energetyczny;24.kwi.87;;;29.wrz.26;","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Columbia;1190;Lekkowodny;BWR;BWR-5 (Mark 2);Energetyczny;13.gru.84;;;2043;","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Comanche Peak-1;1259;Lekkowodny;PWR;WH 4-loop (DRYAMB);Energetyczny;17.kwi.90;;;08.lut.30;","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Comanche Peak-2;1250;Lekkowodny;PWR;WH 4-loop (DRYAMB);Energetyczny;06.kwi.93;;;02.lut.33;","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Connecticut Yankee;582;Lekkowodny;PWR;;Energetyczny;1968;2004;;;Reaktor wy³¹czony i zdemontowany","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Cooper;801;Lekkowodny;BWR;BWR-4 (Mark 1);Energetyczny;01.lip.74;;;sty.29;","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Crystal River 3;890;Lekkowodny;PWR;;Energetyczny;13.mar.77;05.lut.13;;;Reaktor wy³¹czony","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Davis-Besse;925;Lekkowodny;PWR;B&W RLP (DRYAMB);Energetyczny;31.lip.78;;;31.maj.20;","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Diablo Canyon-1;1197;Lekkowodny;PWR;WH 4-loop (DRYAMB);Energetyczny;07.maj.85;;;02.lis.24;","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Diablo Canyon-2;1197;Lekkowodny;PWR;WH 4-loop (DRYAMB);Energetyczny;13.mar.86;;;20.sie.25;","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Donald C. Cook-1;1131;Lekkowodny;PWR;WH 4-loop (ICECDN);Energetyczny;27.sie.75;;;2034;","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Donald C. Cook-2;1231;Lekkowodny;PWR;WH 4-loop (ICECDN);Energetyczny;01.lip.78;;;2037;","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Dresden-1;207;Lekkowodny;BWR;BWR-1 (Mark 1);Energetyczny;1960;1978;;;Reaktor wy³¹czony","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Dresden-2;950;Lekkowodny;BWR;BWR-3 (Mark 1);Energetyczny;08.cze.70;;;2030;","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Dresden-3;935;Lekkowodny;BWR;BWR-3 (Mark 1);Energetyczny;16.lis.71;;;2031;","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Duane Arnold;624;Lekkowodny;BWR;BWR-4 (Mark 1);Energetyczny;20.lut.75;;;2020;","
