Kontynent;Pañstwo;Miejsce;Moc [MWe];Grupa reaktorów;Typ;Model;Przeznaczenie;Data uruchomienia;Data wy³¹czenia;Data planowanego uruchomienia;Data planowanego wy³¹czenia;Uwagi,"
Europa;Francja;Rubéole;;;;;Badawczy;;;;;Reaktor wy³¹czony","
Europa;Francja;Mélusine;;;;;Badawczy;;;;;Reaktor wy³¹czony","
Europa;Francja;Proserpine;;;;;Badawczy;;;;;Reaktor wy³¹czony","
Europa;Francja;PEG;;;;;Badawczy;;;;;Reaktor wy³¹czony","
Europa;Francja;Alizé;;;;;Badawczy;;;;;Reaktor wy³¹czony","
Europa;Francja;Minerve;;;;;Badawczy;;;;;Reaktor wy³¹czony","
Europa;Francja;Triton;;;;;Badawczy;;;;;Reaktor wy³¹czony","
Europa;Francja;Néréide;;;;;Badawczy;;;;;Reaktor wy³¹czony","
Europa;Francja;Marius;;;;;Badawczy;;;;;Reaktor wy³¹czony","
Europa;Francja;Ulysse;;;;;Badawczy;;;;;Reaktor wy³¹czony","
Europa;Francja;Peggy;;;;;Badawczy;;;;;Reaktor wy³¹czony","
Europa;Francja;Rachel;;;;;Badawczy;;;;;Reaktor wy³¹czony","
Europa;Francja;Siloé;;;;;Badawczy;;;;;Reaktor wy³¹czony","
Europa;Francja;Pégase;;;;;Badawczy;;;;;Reaktor wy³¹czony","
Europa;Francja;Siloette;;;;;Badawczy;;;;;Reaktor wy³¹czony","
Europa;Francja;Prototype ? terre (PAT);;;;;Badawczy;;;;;Reaktor wy³¹czony","
Europa;Francja;Cesar;;;;;Badawczy;;;;;Reaktor wy³¹czony","
Europa;Francja;Marius;;;;;Badawczy;;;;;Reaktor wy³¹czony","
Europa;Francja;Harmonie;;;;;Badawczy;;;;;Reaktor wy³¹czony","
Europa;Francja;Osiris;;;;;Badawczy;;;;;Reaktor wy³¹czony","
Europa;Francja;Réacteur universitaire de Strasbourg (RUS);;;;;Badawczy;;;;;Reaktor wy³¹czony","
Europa;Francja;Rapsodie;40;Prêdki;FBR;Rapsodie;Badawczy;1967;1983;;;Reaktor wy³¹czony","
Europa;Francja;Eau lourde n°4;;;;EL-4;Badawczy;;;;;Reaktor wy³¹czony","
Europa;Francja;Celestin I;;;;;Badawczy;;;;;Reaktor wy³¹czony","
Europa;Francja;Celestin II;;;;;Badawczy;;;;;Reaktor wy³¹czony","
Europa;Francja;Prospero;;;;;Badawczy;;;;;Reaktor wy³¹czony","
Europa;Francja;Caliban;;;;;Badawczy;;;;;Reaktor wy³¹czony","
Europa;Francja;Phénix;;;;;Badawczy;;;;;Reaktor wy³¹czony","
Europa;Francja;Sil?ne;;;;;Badawczy;;;;;Reaktor wy³¹czony","
Europa;Francja;Chaufferie avancée prototype (Cap);;;;;Badawczy;;;;;Reaktor wy³¹czony","
Europa;Francja;Phébus;;;;;Badawczy;;;;;Reaktor wy³¹czony","
Europa;Francja;Réacteur nouvelle génération (RNG);;;;;Badawczy;;;;;Reaktor wy³¹czony","
Europa;Francja;Cadarache;;;;Azur;Badawczy;;;;;","
Europa;Francja;Cadarache;;;;Cabri;Badawczy;;;;;","
Europa;Francja;Cadarache;;;;Eole;Badawczy;;;;;","
Europa;Francja;Cadarache;;;;Masurca;Badawczy;;;;;","
Europa;Francja;Cadarache;;;;Minerve;Badawczy;;;;;","
Europa;Francja;Saclay Nuclear Research Centre;;;;Isis;Badawczy;;;;;","
Europa;Francja;Saclay Nuclear Research Centre;;;;Orphée;Badawczy;;;;;","
Europa;Francja;Institut Laue-Langevin;;;;Réacteur ? Haut Flux (RHF);Badawczy;;;;;","
Europa;Grecja;Demokritos National Centre for Scientific Research, Ateny;5;Lekkowodny;Zbiornikowy;GRR-1;Badawczy;27.lip.61;;;;Reaktor tymczasowo wy³¹czony","
Europa;Hiszpania;Almaraz-1;1049;Lekkowodny;PWR;PWR model W;Energetyczny;01.wrz.83;;;;","
Europa;Hiszpania;Almaraz-2;1044;Lekkowodny;PWR;PWR model W;Energetyczny;01.lip.84;;;;","
Europa;Hiszpania;Ascó-1;1033;Lekkowodny;PWR;PWR model W;Energetyczny;10.gru.84;;;;Reaktor posiada licencjê na pracê do 2021 roku","
Europa;Hiszpania;Ascó-2;1035;Lekkowodny;PWR;PWR model W;Energetyczny;31.mar.86;;;;Reaktor posiada licencjê na pracê do 2021 roku","
Europa;Hiszpania;Cofrentes;1102;Lekkowodny;BWR;BWR-6;Energetyczny;11.mar.85;;;;","
Europa;Hiszpania;José Cabrera;150;Lekkowodny;PWR;WE-1 Loop;Energetyczny;13.sie.89;30.kwi.06;;;Reaktor wy³¹czony","
Europa;Hiszpania;Santa María de Garo?a;466;Lekkowodny;BWR;BWR-3;Energetyczny;15.lut.75;06.lip.13;;;Reaktor wy³¹czony","
Europa;Hiszpania;Trillo;1066;Lekkowodny;PWR;KWU-3 loops;Energetyczny;06.sie.88;;;;","
Europa;Hiszpania;Vandell?s-1;500;Grafitowo-gazowy;GCR;UNGG;Energetyczny;02.sie.72;31.lip.90;;;Reaktor wy³¹czony","
Europa;Hiszpania;Vandell?s-2;1087;Lekkowodny;PWR;WE-3 loops;Energetyczny;08.mar.88;;;;","
Europa;Hiszpania;Polytechnic University of Catalonia, Barcelona;0,00001;;Argonaut;Argos;Badawczy;1963;1992;;;Reaktor wy³¹czony","
Europa;Hiszpania;CORAL-I;;;;;;;;;;","
Europa;Holandia;Borssele;515;Lekkowodny;LWR-PWR;KWU;Energetyczny;26.paŸ.73;;;26.paŸ.33;","
Europa;Holandia;Dodewaard;60;Lekkowodny;BWR;BWR-5;Energetyczny;26.mar.69;26.mar.97;;;","
Europa;Holandia;Delft University of Technology;2 MWt;;Zbiornikowy;HOR;Badawczy;lis.58;;;;","
Europa;Holandia;Petten;45 MWt;;;HFR;Badawczy;lis.61;;;;","
Europa;Holandia;Petten;0,00003 MWt;;;LFR;Badawczy;1960;2018;;;Reaktor wy³¹czony i zdemontowany","
Europa;Holandia;Wageningen University;;;;Biologische Agrarische Reactor Nederland;Badawczy;;1980;;;Reaktor wy³¹czony","
Europa;Holandia;Eindhoven University of Technology;;;;ATHENE;Badawczy;;;;;Reaktor wy³¹czony","
Europa;Holandia;KEMA, Arnhem;;;;KEMA;Badawczy;;2003;;;Reaktor wy³¹czony i zdemontowany","
Europa;Litwa;Ignalina-1;1300;Lekkowodny;LWGR;RBMK-1500;Energetyczny;01.maj.85;31.gru.04;;;Reaktor wy³¹czony","
Europa;Litwa;Ignalina-2;1300;Lekkowodny;LWGR;RBMK-1500;Energetyczny;01.gru.87;31.gru.09;;;Reaktor wy³¹czony","
Europa;Litwa;Ignalina-3;1500;Lekkowodny;LWGR;RBMK-1500;Energetyczny;;1988;;;Budowa przerwana w 1988 roku","
Europa;Litwa;Ignalina-4;1500;Lekkowodny;LWGR;RBMK-1500;Energetyczny;;;;;Projekt anulowany w 1988 roku","
Europa;£otwa;Salaspils, Nuclear Research Center;5;Lekkowodny;Zbiornikowy;;Badawczy;1969;1998;;;Reaktor wy³¹czony","
Europa;Niemcy;AVR Juelich;15;Grafitowo-gazowy;HTGR;AVR;Badawczy/Energetyczny;19.maj.69;31.gru.88;;;Reaktor wy³¹czony","
Europa;Niemcy;Biblis-A;1225;Lekkowodny;PWR;;Energetyczny;26.lut.75;06.sie.11;;;Reaktor wy³¹czony","
Europa;Niemcy;Biblis-B;1300;Lekkowodny;PWR;;Energetyczny;31.sty.77;06.sie.11;;;Reaktor wy³¹czony","
Europa;Niemcy;Brokdorf;1480;Lekkowodny;PWR;;Energetyczny;22.gru.86;;;31.gru.21;","
Europa;Niemcy;Brunsbüttel;806;Lekkowodny;BWR;BWR-69;Energetyczny;09.lut.77;06.sie.11;;;Reaktor wy³¹czony","
Europa;Niemcy;Emsland;1406;Lekkowodny;PWR;Konvoi;Energetyczny;20.cze.88;;;31.gru.22;","
Europa;Niemcy;Grafenrheinfeld;1345;Lekkowodny;PWR;;Energetyczny;17.cze.82;27.cze.15;;;Reaktor wy³¹czony","
Europa;Niemcy;Greifswald - 1 (KGR 1);440;Lekkowodny;PWR;VVER V-230;Energetyczny;12.lip.74;14.lut.90;;;Reaktor wy³¹czony","
Europa;Niemcy;Greifswald - 2 (KGR 2);440;Lekkowodny;PWR;VVER V-230;Energetyczny;16.kwi.75;14.lut.90;;;Reaktor wy³¹czony","
Europa;Niemcy;Greifswald - 3 (KGR 3);440;Lekkowodny;PWR;VVER V-230;Energetyczny;01.maj.78;28.lut.90;;;Reaktor wy³¹czony","
Europa;Niemcy;Greifswald - 4 (KGR 4);440;Lekkowodny;PWR;VVER V-230;Energetyczny;01.lis.79;22.lip.90;;;Reaktor wy³¹czony","
Europa;Niemcy;Greifswald - 5 (KGR 5);440;Lekkowodny;PWR;VVER V-213;Energetyczny;01.lis.89;25.lis.89;;;Reaktor wy³¹czony","
Europa;Niemcy;Greifswald - 6 (KGR 6);440;Lekkowodny;PWR;VVER V-213;Energetyczny;;;;;Reaktor ukoñczony, nigdy nie uruchomiony","
Europa;Niemcy;Grohnde;1430;Lekkowodny;PWR;;Energetyczny;01.lut.85;;;31.gru.21;","
Europa;Niemcy;Großwelzheim;27;Lekkowodny;BWR;Superheated steam reactor;Badawczy/Energetyczny;02.sie.70;20.kwi.71;;;Reaktor wy³¹czony","
Europa;Niemcy;Gundremmingen A;250;Lekkowodny;BWR;;Energetyczny;12.kwi.67;13.sty.77;;;Reaktor wy³¹czony","
Europa;Niemcy;Gundremmingen B;1344;Lekkowodny;BWR;BWR-72;Energetyczny;19.lip.84;31.gru.17;;;Reaktor wy³¹czony","
Europa;Niemcy;Gundremmingen C;1344;Lekkowodny;BWR;BWR-72;Energetyczny;18.sty.85;;;31.gru.21;","
Europa;Niemcy;Isar-1;912;Lekkowodny;BWR;BWR-69;Energetyczny;21.mar.79;06.sie.11;;;Reaktor wy³¹czony","
Europa;Niemcy;Isar-2;1485;Lekkowodny;PWR;Konvoi;Energetyczny;09.kwi.88;;;31.gru.22;","
Europa;Niemcy;Kahl;16;Lekkowodny;BWR;BWR;Badawczy/Energetyczny;01.lut.62;25.lis.85;;;Reaktor wy³¹czony i zdemontowany","
Europa;Niemcy;Kalkar;327;Prêdki;FBR;SNR-300;Badawczy/Energetyczny;;;;;Reaktor ukoñczony, nigdy nie uruchomiony","
Europa;Niemcy;KNK II;21;Prêdki;FBR;KNK;Badawczy/Energetyczny;03.mar.79;23.sie.91;;;Reaktor wy³¹czony","
Europa;Niemcy;Krümmel;1402;Lekkowodny;BWR;BWR-69;Energetyczny;28.mar.84;06.sie.11;;;Reaktor wy³¹czony","
Europa;Niemcy;Lingen;268;Lekkowodny;BWR;BWR with fossil fuel-fired superheater;Energetyczny;01.paŸ.68;05.sty.77;;;Reaktor wy³¹czony","
Europa;Niemcy;Mülheim-Kärlich;1302;Lekkowodny;PWR;;Energetyczny;08.sie.87;09.wrz.88;;;Reaktor wy³¹czony","
Europa;Niemcy;MZFR Karlsrühe ;57;Ciê¿kowodny;PHWR;Heavy water-cooled pressure vessel reactor;Energetyczny;19.gru.66;03.maj.84;;;Reaktor wy³¹czony","
Europa;Niemcy;Neckarwestheim-1;840;Lekkowodny;PWR;;Energetyczny;01.gru.76;06.sie.11;;;Reaktor wy³¹czony","
Europa;Niemcy;Neckarwestheim-2;1400;Lekkowodny;PWR;;Energetyczny;15.kwi.89;;;31.gru.22;","
Europa;Niemcy;Niederaichbach;106;Ciê¿kowodno-gazowy;HWGCR;Pressure tube reactor;Energetyczny;01.sty.73;31.lip.74;;;Reaktor wy³¹czony","
Europa;Niemcy;Obrigheim;357;Lekkowodny;PWR;;Energetyczny;31.mar.69;11.maj.05;;;Reaktor wy³¹czony","
Europa;Niemcy;Philippsburg-1;926;Lekkowodny;BWR;BWR-69;Energetyczny;26.mar.80;06.sie.11;;;Reaktor wy³¹czony","
Europa;Niemcy;Philippsburg-2;1468;Lekkowodny;PWR;;Energetyczny;18.kwi.85;;;31.gru.19;","
Europa;Niemcy;Rheinsberg;70;Lekkowodny;PWR;VVER-70;Energetyczny;11.paŸ.66;01.cze.90;;;Reaktor wy³¹czony","
Europa;Niemcy;Stade;672;Lekkowodny;PWR;VVER-1000/320;Energetyczny;19.maj.72;04.lis.03;;;Reaktor wy³¹czony","
Europa;Niemcy;Stendal-1;1000;Lekkowodny;PWR;VVER-1000/320;Energetyczny;;;;;Reaktor ukoñczony, nigdy nie uruchomiony","
Europa;Niemcy;Stendal-2;1000;Lekkowodny;PWR;VVER-1000/320;Energetyczny;;;;;Reaktor ukoñczony, nigdy nie uruchomiony","
Europa;Niemcy;Stendal-3;1000;Lekkowodny;PWR;VVER-1000/320;Energetyczny;;;;;Reaktor nigdy nie ukoñczony","
Europa;Niemcy;Stendal-4;1000;Lekkowodny;PWR;VVER-1000/320;Energetyczny;;;;;Reaktor nigdy nie ukoñczony","
Europa;Niemcy;THTR Hamm-Uentrop;308;Grafitowo-gazowy;HTGR;THTR-300;Badawczy/Energetyczny;01.cze.87;29.wrz.88;;;Reaktor wy³¹czony","
Europa;Niemcy;Unterwesser;1410;Lekkowodny;PWR;;Energetyczny;06.wrz.79;06.sie.11;;;Reaktor wy³¹czony","
Europa;Niemcy;Würgassen;670;Lekkowodny;BWR;;Energetyczny;11.lis.75;26.sie.94;;;Reaktor wy³¹czony","
Europa;Niemcy;Technische Universität Dresden;0,000002 MWt;;;AKR II – Ausbildungskernreaktor II;Badawczy;2005;;;;","
Europa;Niemcy;Helmholtz-Zentrum Berlin für Materialien und Energie;10 MWt;;;BER II – Berliner-Experimentier-Reaktor II;Badawczy;1990;;;;","
Europa;Niemcy;Geesthacht;5 MWt;;;FRG-1;Badawczy;1958;;;;","
Europa;Niemcy;Technische Universität München;20 MWt;;;FRM II;Badawczy;2004;;;;","
Europa;Niemcy;University of Mainz, Institute of Nuclear Chemistry;0,1 MWt;;TRIGA;FRMZ;Badawczy;1965;;;;","
Europa;Niemcy;Karlsruhe Institute of Technology;44 MWt;;;FR2 - Forschungsreaktor 2;Badawczy;1957;1981;;;Reaktor wy³¹czony","
Europa;Norwegia;Kjeller;;;;NORA;Badawczy;1961;1967;;;Reaktor wy³¹czony","
Europa;Norwegia;Kjeller;;;;JEEP I;Badawczy;1951;1967;;;Reaktor wy³¹czony","
Europa;Norwegia;Kjeller;;;;JEEP II;Badawczy;1966;;;;Reaktor tymczasowo wy³¹czony","
Europa;Norwegia;Halden Reactor;25 MWt;Lekkowodny;BWR;HBWR;Badawczy;1958;;;2020;Reaktor przeznaczony do wy³¹czenia","
Europa;Polska;¯arnowiec 1;440;Lekkowodny;PWR;VVER-440;Energetyczny;;;;;Reaktor nie zosta³ ukoñczony, budowê przerwano w 1990 roku","
Europa;Polska;¯arnowiec 2;440;Lekkowodny;PWR;VVER-440;Energetyczny;;;;;Reaktor nie zosta³ ukoñczony, budowê przerwano w 1990 roku","
Europa;Polska;¯arnowiec 3;440;Lekkowodny;PWR;VVER-440;Energetyczny;;;;;Reaktor nie zosta³ ukoñczony, budowê przerwano w 1990 roku","
Europa;Polska;¯arnowiec 4;440;Lekkowodny;PWR;VVER-440;Energetyczny;;;;;Reaktor nie zosta³ ukoñczony, budowê przerwano w 1990 roku","
Europa;Polska;Narodowe Centrum Badañ J¹drowych, Œwierk;10 MWt;Lekkowodny;PWR;Reaktor EWA, WWR-S;Badawczy;14.cze.58;1997;;;Reaktor wy³¹czony i zdemontowany","
Europa;Polska;Narodowe Centrum Badañ J¹drowych, Œwierk;30 MWt;Lekkowodny;Zbiornikowy;Reaktor Maria;Badawczy;gru.74;;;;Planowana modernizacja reaktora w roku 2020","
Europa;Polska;Narodowe Centrum Badañ J¹drowych, Œwierk;0,01 MWt;Wodno-grafitowy;;Reaktor Anna;Badawczy;12.cze.63;Lata 1980;;;Reaktor wy³¹czony i zdemontowany, w okresie testów z neutronami prêdkimi nosi³ nazwê P-Anna (Prêdka Anna)","
Europa;Polska;Narodowe Centrum Badañ J¹drowych, Œwierk;0,00001 MWt;Wodno-grafitowy;Zbiornikowy;Reaktor Agata;Badawczy;1973;Lata 1980;;;Reaktor wy³¹czony i zdemontowny","
Europa;Polska;Narodowe Centrum Badañ J¹drowych, Œwierk;0,00025 MWt;Lekkowodny;Zbiornikowy;Reaktor MARYLA;Badawczy;29.gru.63;Lata 1970;;;Reaktor wy³¹czony i zdemontowny","
Europa;Polska;Akademia Górniczo-Hutnicza im. Stanis³awa Staszica, Kraków;0,1 MWt;Lekkowodny;Zbiornikowy;Reaktor WANDA (UR-100);Badawczy;;;;;Reaktor ukoñczony, nigdy nie uruchomiony","
Europa;Rumunia;Cernavodã-1;706;Ciê¿kowodny;PHWR;CANDU-6;Energetyczny;02.gru.96;;;;","
Europa;Rumunia;Cernavodã-2;705;Ciê¿kowodny;PHWR;CANDU-6;Energetyczny;31.paŸ.07;;;;","
Europa;Rumunia;Cernavodã-3;706;Ciê¿kowodny;PHWR;CANDU-6;Energetyczny;;;;;Budowa zawieszona, planowane ponowne rozpoczêcie budowy","
Europa;Rumunia;Cernavodã-4;706;Ciê¿kowodny;PHWR;CANDU-6;Energetyczny;;;;;Budowa zawieszona, planowane ponowne rozpoczêcie budowy","
Europa;Rumunia;Cernavodã-5;706;Ciê¿kowodny;PHWR;CANDU-6;Energetyczny;;;;;Budowa zawieszona","
Europa;Rumunia;Institute for Nuclear Research, Mioveni;14 MWt;;TRIGA;;Badawczy;;;;;","
Europa;Rumunia;National Institute for Physics and Nuclear Engineering, M?gurele;2 MWt;Lekkowodny;PWR;VVR-S;Badawczy;;kwi.02;;;Reaktor wy³¹czony, w trakcie demonta¿u","
Europa;Serbia;Vinca Nuclear Institute, Vinèa;6,5 MWt;Ciê¿kowodny;;RA - Reaktor A;Badawczy;1956;2002;;;Reaktor wy³¹czony","
Europa;Serbia;Vinca Nuclear Institute, Vinèa;;Ciê¿kowodny;;RB - Reaktor B;Badawczy;kwi.58;;;;","
Europa;S³owacja;Bohunice A1;143;Ciê¿kowodno-gazowy;HWGCR;KS 150;Energetyczny;25.gru.72;22.lut.77;;;Reaktor wy³¹czony","
Europa;S³owacja;Bohunice-1;440;Lekkowodny;PWR;VVER V-230;Energetyczny;01.kwi.80;31.gru.06;;;Reaktor wy³¹czony","
Europa;S³owacja;Bohunice-2;440;Lekkowodny;PWR;VVER V-230;Energetyczny;01.sty.81;31.gru.08;;;Reaktor wy³¹czony","
Europa;S³owacja;Bohunice-3;505;Lekkowodny;PWR;VVER V-213;Energetyczny;14.lut.85;;;2025;","
Europa;S³owacja;Bohunice-4;505;Lekkowodny;PWR;VVER V-213;Energetyczny;18.gru.85;;;2025;","
Europa;S³owacja;Mochovce-1;470;Lekkowodny;PWR;VVER V-213;Energetyczny;29.paŸ.98;;;2058;","
Europa;S³owacja;Mochovce-2;470;Lekkowodny;PWR;VVER V-213;Energetyczny;11 April 2000;;;2060;","
Europa;S³owacja;Mochovce-3;471;Lekkowodny;PWR;VVER V-213+;Energetyczny;;;2019;;W budowie","
Europa;S³owacja;Mochovce-4;471;Lekkowodny;PWR;VVER V-213+;Energetyczny;;;2020;;W budowie","
Europa;S³owenia;Krško;727;Lekkowodny;PWR;Westinghouse 212;Energetyczny;01.sty.83;;;2036;","
Europa;S³owenia;Jožef Stefan Institute, Ljubljana;0,25 MWt;;TRIGA;TRIGA Mark II;Badawczy;1966;;;;","
Europa;Szwajcaria;Beznau-1;380;Lekkowodny;PWR;WH 2-loops;Energetyczny;01.wrz.69;;;2029;","
Europa;Szwajcaria;Beznau-2;380;Lekkowodny;PWR;WH 2-loops;Energetyczny;01.gru.71;;;2031;","
Europa;Szwajcaria;Gösgen;1060;Lekkowodny;PWR;3-loops;Energetyczny;01.lis.79;;;;","
Europa;Szwajcaria;Leibstadt;1275;Lekkowodny;BWR;BWR-6;Energetyczny;15.gru.84;;;;","
Europa;Szwajcaria;Lucens;7;Ciê¿kowodno-gazowy;HWGCR;HWGCR: 2-loops;Badawczo/Energetyczny;01.kwi.62;21.sty.69;;;Reaktor wy³¹czony i zdemontowany","
Europa;Szwajcaria;Mühleberg;390;Lekkowodny;BWR;BWR-4;Energetyczny;06.lis.72;;;20.gru.19;","
Europa;Szwajcaria;Paul Scherrer Institut, Würenlingen;0,1 MWt;;Zbiornikowy;SAPHIR;Badawczy;30.kwi.57;1994;;;Reaktor wy³¹czony","
Europa;Szwajcaria;Paul Scherrer Institut, Würenlingen;;Ciê¿kowodny;;DIORIT;Badawczy;1960;1977;;;Reaktor wy³¹czony","
Europa;Szwajcaria;Paul Scherrer Institut, Würenlingen;0 MWt;;;PROTEUS;Badawczy;1968;2011;;;Reaktor wy³¹czony","
Europa;Szwajcaria;University of Geneva, Geneva;0,00002 MWt;Wodno-grafitowy;;AGN-201-P reactor;Badawczy;1958;1989;;;Reaktor wy³¹czony i zdemontowany","
Europa;Szwajcaria;University of Basel, Basel;0,002 MWt;Lekkowodny;;AGN-211-P;Badawczy;1959;2013;;;Reaktor wy³¹czony","
Europa;Szwajcaria;École Polytechnique Fédérale de Lausanne;0,0001 MWt;Lekkowodny;;CROCUS;Badawczy;;;;;","
Europa;Szwecja;?gesta;12;Ciê¿kowodny;PHWR;R3;Badawczo/Energetyczny;01.maj.64;02.cze.74;;;Reaktor wy³¹czony","
Europa;Szwecja;Barsebäck-1;615;Lekkowodny;BWR;ABB-II;Energetyczny;01.lip.75;30.lis.99;;;Reaktor wy³¹czony","
Europa;Szwecja;Barsebäck-2;615;Lekkowodny;BWR;ABB-II;Energetyczny;01.lip.77;31.maj.05;;;Reaktor wy³¹czony","
Europa;Szwecja;Forsmark-1;1022;Lekkowodny;BWR;ABB-III, BWR-2500;Energetyczny;10.gru.80;;;;","
Europa;Szwecja;Forsmark-2;1156;Lekkowodny;BWR;ABB-III, BWR-2500;Energetyczny;07.lip.81;;;;","
Europa;Szwecja;Forsmark-3;1195;Lekkowodny;BWR;ABB-IV, BWR-3000;Energetyczny;18.sie.85;;;;","
Europa;Szwecja;Oskarshamn-1;492;Lekkowodny;BWR;ABB-I;Energetyczny;06.lut.72;19.cze.17;;;Reaktor wy³¹czony, przeznaczony do rozbiórki","
Europa;Szwecja;Oskarshamn-2;661;Lekkowodny;BWR;ABB-II;Energetyczny;01.sty.75;22.gru.16;;;Reaktor wy³¹czony, przeznaczony do rozbiórki","
Europa;Szwecja;Oskrashamn-3;1450;Lekkowodny;BWR;ABB-III, BWR-3000;Energetyczny;15.sie.85;;;;","
Europa;Szwecja;Ringhals-1;910;Lekkowodny;BWR;ABB-I;Energetyczny;01.sty.76;;;2020;","
Europa;Szwecja;Ringhals-2;963;Lekkowodny;PWR;WE 3-loops;Energetyczny;01.maj.75;;;2019;","
Europa;Szwecja;Ringhals-3;1117;Lekkowodny;PWR;WE 3-loops;Energetyczny;09.wrz.81;;;;","
Europa;Szwecja;Ringhals-4;1171;Lekkowodny;PWR;WE 3-loops;Energetyczny;21.lis.83;;;;","
Europa;Szwecja;KTH Royal Institute of Technology, Stockholm;1 MWt;;;R1;Badawczy;13.lip.54;06.cze.70;;;Reaktor wy³¹czony i zdemontowany","
Europa;Szwecja;Studsvik;50 MWt;;;R2;Badawczy/Produkcja izotopów;1960;2005;;;Reaktor wy³¹czony","
Europa;Szwecja;Studsvik;1 MWt;;;R2-0;Badawczy/Produkcja izotopów;1960;2005;;;Reaktor wy³¹czony","
Europa;Szwecja;Studsvik;0;;;FR-0;Badawczy;1964;1971;;;Reaktor wy³¹czony i zdemontowany","
Europa;Szwecja;Marviken, Norrköping;;;;R-4;Badawczy;;;;;Budowa reaktora nie zosta³a ukoñczona, anulowana w 1970 roku","
Europa;Ukraina;Chernobyl-1;800;Lekkowodny;LWGR;RBMK;Energetyczny;27.maj.78;30.lis.16;;;Reaktor wy³¹czony","
Europa;Ukraina;Chernobyl-2;1000;Lekkowodny;LWGR;RBMK;Energetyczny;28.maj.79;11.paŸ.91;;;Reaktor wy³¹czony","
Europa;Ukraina;Chernobyl-3;1000;Lekkowodny;LWGR;RBMK;Energetyczny;08.cze.82;15.gru.00;;;Reaktor wy³¹czony","
Europa;Ukraina;Chernobyl-4;1000;Lekkowodny;LWGR;RBMK;Energetyczny;26.mar.84;26.kwi.86;;;Reaktor zniszczony","
Europa;Ukraina;Chernobyl-5;1000;Lekkowodny;LWGR;RBMK;Energetyczny;;;;;Budowa przerwana po katastrofie czarnobylskiej","
Europa;Ukraina;Chernobyl-6;1000;Lekkowodny;LWGR;RBMK;Energetyczny;;;;;Budowa przerwana po katastrofie czarnobylskiej","
Europa;Ukraina;Chyhyryn-1;1000;Lekkowodny;PWR;VVER-1000;Energetyczny;;;;;Budowa przerwana 19 Maja 1989 roku","
Europa;Ukraina;Chyhyryn-2;1000;Lekkowodny;PWR;VVER-1000;Energetyczny;;;;;Budowa przerwana 19 Maja 1989 roku","
Europa;Ukraina;Chyhyryn-3;1000;Lekkowodny;PWR;VVER-1000;Energetyczny;;;;;Budowa przerwana 19 Maja 1989 roku","
Europa;Ukraina;Chyhyryn-4;1000;Lekkowodny;PWR;VVER-1000;Energetyczny;;;;;Budowa przerwana 19 Maja 1989 roku","
Europa;Ukraina;Crimean-1;1000;Lekkowodny;PWR;VVER-1000;Energetyczny;;;;;Budowa przerwana w 1990 roku","
Europa;Ukraina;Crimean-2;1000;Lekkowodny;PWR;VVER-1000;Energetyczny;;;;;Budowa przerwana w 1990 roku","
Europa;Ukraina;Kharkiv-1;940;Lekkowodny;PWR;VVER-1000;Energetyczny;;;;;Budowa przerwana w 1990 roku","
Europa;Ukraina;Kharkiv-2;940;Lekkowodny;PWR;VVER-1000;Energetyczny;;;;;Budowa przerwana w 1990 roku","
Europa;Ukraina;Khmelnytskyi-1;1000;Lekkowodny;PWR;VVER V-320;Energetyczny;13.sie.88;;;;","
Europa;Ukraina;Khmelnytskyi-2;1000;Lekkowodny;PWR;VVER V-320;Energetyczny;15.gru.05;;;;","
Europa;Ukraina;Khmelnytskyi-3;1089;Lekkowodny;PWR;VVER V-392B;Energetyczny;;;2019;;W budowie","
Europa;Ukraina;Khmelnytskyi-4;1089;Lekkowodny;PWR;VVER V-392B;Energetyczny;;;2020;;W budowie","
Europa;Ukraina;Odessa-1;940;Lekkowodny;PWR;VVER-1000;Energetyczny;;;;;Budowa przerwana w 1989 roku","
Europa;Ukraina;Odessa-2;940;Lekkowodny;PWR;VVER-1000;Energetyczny;;;;;Budowa przerwana w 1989 roku","
Europa;Ukraina;Rivne-1;420;Lekkowodny;PWR;VVER V-213;Energetyczny;22.wrz.81;;;;","
Europa;Ukraina;Rivne-2;415;Lekkowodny;PWR;VVER V-213;Energetyczny;29.lip.82;;;;","
Europa;Ukraina;Rivne-3;1000;Lekkowodny;PWR;VVER V-320;Energetyczny;16.maj.87;;;2037;","
Europa;Ukraina;Rivne-4;1000;Lekkowodny;PWR;VVER V-320;Energetyczny;06.kwi.06;;;;","
Europa;Ukraina;South Ukraine-1;1000;Lekkowodny;PWR;VVER V-302;Energetyczny;02.gru.83;;;2023;","
Europa;Ukraina;South Ukraine-2;1000;Lekkowodny;PWR;VVER V-338;Energetyczny;06.kwi.85;;;2025;","
Europa;Ukraina;South Ukraine-3;1000;Lekkowodny;PWR;VVER V-320;Energetyczny;29.gru.89;;;2029;","
Europa;Ukraina;South Ukraine-4;1000;Lekkowodny;PWR;VVER V-320;Energetyczny;;;;;Budowa przerwana","
Europa;Ukraina;Zaporizhia-1;1000;Lekkowodny;PWR;VVER V-320;Energetyczny;25.gru.85;;;2025;","
Europa;Ukraina;Zaporizhia-2;1000;Lekkowodny;PWR;VVER V-320;Energetyczny;15.lut.86;;;2026;","
Europa;Ukraina;Zaporizhia-3;1000;Lekkowodny;PWR;VVER V-320;Energetyczny;05.mar.87;;;2027;","
